회사명,거래소코드,회계년도,소속코드,통계청 한국표준산업분류 코드 10차(대분류),산업코드,산업명,산업분류,산업분류_제조업,상장일,상장폐지일,총자본증가율,유형자산증가율,유동자산증가율,재고자산증가율,자기자본증가율,매출액증가율,매출액정상영업이익률,매출액순이익률,자기자본순이익률,자본금순이익률,기업순이익률,매출원가 대 매출액비율,금융비용 대 총비용비율,감가상각률,차입금평균이자율,사내유보율,평균배당률,자기자본배당률,배당성향,자기자본구성비율,비유동비율,비유동장기적합률,유동비율,당좌비율,현금비율,매출채권 대 매입채무비율,부채비율,유동부채비율,비유동부채비율,차입금의존도,자기자본회전률,자본금회전률,매입채무회전률,재고자산회전률,비유동자산회전률,유형자산회전율,총자본투자효율,설비투자효율,기계투자효율,부가가치율,노동소득분배율,인건비(백만원),금융비용(백만원),임차료(백만원),세금과공과(백만원),감가상각비(백만원),부채대비영업활동현금흐름,자본대비영업활동현금흐름,매출액대비영업활동현금흐름,3년지수가중평균매출액,업력,연 변동성,PER,PBR,건설업,부동산업,label
(주)강원랜드,A035250,2020,1,91,91,스포츠및오락관련서비스업,R,,2003.9.4,,-17.95,-1.55,-20.23,-40.6,-12.66,-68.52,-90.18,-57.65,-7.92,-257.88,-7.45,113.77,-2.64,6.06,2.84,0,0,0,0,89.16,66.01,64.72,454.03,453.38,20.02,171.53,12.15,10.16,1.99,1.76,0.14,4.47,188.27,165.13,0.2,0.35,0.81,2.23,16.13,6.14,1177.27,345799.89,-25250.76,0,36016.57,77307.96,-1.176139176,-0.188283223,-4.992882559,82628672.57,23,0.408664519,14.23,1.35,0,0,0
(주)강원랜드,A035250,2021,1,91,91,스포츠및오락관련서비스업,R,,2003.9.4,,5.1,-3.36,10.6,57.61,0.18,64.74,-6.68,-1.34,-0.33,-9.88,-0.59,92.18,-1.29,6.41,2.68,0,0,0,0,84.99,66.72,65.36,326.99,326.31,40.73,127.51,17.66,15.58,2.08,1.66,0.24,7.37,406.47,283.39,0.37,0.59,12.09,36.71,296.3,58.68,76.17,352416.27,-11274.26,0,56311.09,79378.52,0.43520307,0.064886175,0.870887304,78344265.07,24,0.251180631,0,1.58,0,0,0
(주)강원랜드,A035250,2022,1,91,91,스포츠및오락관련서비스업,R,,2003.9.4,,8.9,-3.53,-27.2,18.3,5,61.17,17.12,9.1,3.47,108.08,2.24,72.54,-2.3,6.6,2.83,100,66.33,2.08,61.23,81.95,86.71,85.09,175.44,174.85,14.7,140.42,22.03,20.13,1.89,1.57,0.38,11.88,428.08,341.96,0.5,0.99,16.35,55.92,526.35,53.62,55.25,376432.68,-26146.42,0,85002.41,78195.88,0.633335291,0.126023246,1.25521331,88758824.37,25,0.252936761,0,1.45,0,0,0
(주)갤럭시아에스엠,A011420,2017,1,91,91,스포츠및오락관련서비스업,R,,1989.11.14,,-14.74,-85.93,-24.2,0,-9.71,-29.16,-9.51,-15.82,-13.83,-42.83,-10.92,100.41,-0.03,21.28,47.53,0,0,0,0,81.26,52.06,51.31,328.78,328.78,112.85,247.51,23.06,21.59,1.46,0,0.87,2.71,10.25,0,1.79,25.25,-0.32,-44.44,0,-0.43,0,5532.81,-11.9,0,0,1177.15,-0.644376538,-0.17316946,-0.793114629,3915244.133,43,0.495098358,0,1.8,0,0,1
(주)경농,A002100,2014,1,20,20,화학물질및화학제품제조업;의약품제외,C,C5,1977.6.30,,11.19,17.21,7.81,-0.56,2.85,-4.01,7.77,3.77,4.73,69.39,3.63,65.14,1.49,11.92,5.98,0,19.47,1.25,22.78,59.35,85.83,74.65,154.43,45.72,17.54,83.66,68.5,53.53,14.97,21.92,1.14,17.38,9.46,1.91,1.39,1.71,16.63,43.44,1912.98,25.11,55.97,26487.96,2725.33,1829.74,806.54,4472.57,0.141047153,0.08857433,1.210456688,2961249.533,58,0.300802328,5.97,0.65,0,0,1
(주)경동나비엔,A009450,2014,1,28,28,전기장비제조업,C,C10,1993.8.31,,13.21,3.55,19.33,16.45,1.4,3.58,3.14,2.19,4.92,72.08,3.03,73.16,0.49,10.97,3.56,0,9.91,0.75,13.9,47.31,127.2,112.25,85.84,41.02,10.51,71.67,111.38,98.05,13.32,26.19,2.27,33.67,8.18,5.53,1.86,2.29,20.16,44.16,335.93,18.88,68.8,55710.3,2091.96,0,0,12155.02,-0.069981007,-0.070321003,-0.095635136,42368964.37,42,0.345936505,32.95,1.99,0,0,0
(주)경동나비엔,A009450,2015,1,28,28,전기장비제조업,C,C10,1993.8.31,,0.11,2.16,-1.06,4.38,8.48,19.36,4.73,3.27,8.48,130.44,4.75,68.76,0.46,9.8,3.98,0,9.91,0.68,6.53,51.25,118.32,108.39,89.35,40.12,10.2,59.76,95.11,85.95,9.16,17.16,2.59,40.19,8.57,6,2.11,2.65,26.79,56.57,357.85,21.03,63.33,68208.97,2318.02,0,0,14893.81,0.214498358,0.220751026,0.243957971,51323404.83,43,0.422855391,42.98,2.12,0,0,0
(주)경동나비엔,A009450,2016,1,28,28,전기장비제조업,C,C10,1993.8.31,,6.88,4.42,10.85,3.22,15.78,13.91,7.86,6.42,16.79,289.84,9.35,65.55,0.25,10,3.58,0,14.86,0.9,6.61,55.56,106.52,100.82,98.83,48.13,12.57,58.93,79.99,74.34,5.66,7.75,2.62,45.78,7.83,6.58,2.34,2.92,33.01,72.7,392.76,24.32,53.32,75638.8,1406.53,0,0,15959.75,0.31696722,0.275754723,0.300893889,61141476.1,44,0.463765587,32.71,2.69,0,0,0
(주)경동나비엔,A009450,2017,1,28,28,전기장비제조업,C,C10,1993.8.31,,17.21,8.95,31.62,22.64,8.66,17.39,6.98,3.95,10.73,207.42,6.04,65.15,0.18,9.87,3.37,0,19.82,1.14,15.5,50.92,106.35,96.11,105.03,54.82,13.08,84.13,96.37,85.71,10.66,11.97,2.76,53.74,7.79,6.83,2.6,3.22,29.39,71.53,408.62,21.62,63.29,93685.62,1194.34,0,0,16582.68,0.091795313,0.081214838,0.07988745,74289121.93,45,0.421475624,17.54,2.77,0,0,0
(주)경동나비엔,A009450,2018,1,28,28,전기장비제조업,C,C10,1993.8.31,,15.86,12.18,24.3,35.95,9.11,6.15,5.61,3.41,9.23,194.35,5.13,67.13,0.45,10.27,4.02,100,24.77,1.31,13.83,48,105.89,96.15,104.32,49.78,9.54,121.72,108.35,98.22,10.13,20.43,2.71,57.05,8.58,5.58,2.55,3.09,28.21,74.02,372.05,22.65,65.78,108289.85,3156.24,0,0,18777.47,-0.051884998,-0.053245702,-0.056894711,80613505.07,46,0.476360089,19.85,2.06,0,0,0
